Provincia,Canton,Parroquia,Femenino,Masculino,Textbox17,Textbox6,Textbox7,Textbox18
"AZUAY,GUALACEO,MARIANO MORENO,27,19,46,""331,031"",""316,925"",""647,956"""
"AZUAY,GUALACEO,REMIGIO CRESPO TORAL (GULAG),0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,GUALACEO,SAN JUAN,29,45,74,""331,031"",""316,925"",""647,956"""
"AZUAY,GUALACEO,ZHIDMAD,15,18,33,""331,031"",""316,925"",""647,956"""
"AZUAY,NABON,COCHAPATA,21,31,52,""331,031"",""316,925"",""647,956"""
"AZUAY,NABON,EL PROGRESO,13,21,34,""331,031"",""316,925"",""647,956"""
"AZUAY,NABON,LAS NIEVES (CHAYA),0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,NABON,NABON,105,115,220,""331,031"",""316,925"",""647,956"""
"AZUAY,OÑA,SAN FELIPE DE OÑA,32,17,49,""331,031"",""316,925"",""647,956"""
"AZUAY,OÑA,SUSUDEL,18,13,31,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,BULAN (JOSE VICTOR IZQUIERDO),0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,CHICAN (GUILLERMO ORTEGA),41,187,228,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,DUG DUG,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,EL CABO,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,GUARAINAG,13,20,33,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,PAUTE,475,370,845,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO),0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,PAUTE,TOMEBAMBA,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,PUCARA,PUCARA,54,77,131,""331,031"",""316,925"",""647,956"""
"AZUAY,PUCARA,SAN RAFAEL DE SHARUG,23,28,51,""331,031"",""316,925"",""647,956"""
"AZUAY,SAN FERNANDO,CHUMBLIN,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,SAN FERNANDO,SAN FERNANDO,79,71,150,""331,031"",""316,925"",""647,956"""
"AZUAY,SANTA ISABEL,ABDON CALDERON (LA UNION),26,39,65,""331,031"",""316,925"",""647,956"""
"AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),412,364,776,""331,031"",""316,925"",""647,956"""
"AZUAY,SANTA ISABEL,ZHAGLLI (SHAGLLI),8,14,22,""331,031"",""316,925"",""647,956"""
"AZUAY,SEVILLA DE ORO,AMALUZA,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,SEVILLA DE ORO,PALMAS,30,80,110,""331,031"",""316,925"",""647,956"""
"AZUAY,SEVILLA DE ORO,SEVILLA DE ORO,53,27,80,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,CUCHIL (CUTCHIL),0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,GÜEL,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,JIMA (GIMA),39,47,86,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,LUDO,0,0,0,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,SAN BARTOLOME,16,50,66,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,SAN JOSE DE RARANGA,19,39,58,""331,031"",""316,925"",""647,956"""
"AZUAY,SIGSIG,SIGSIG,270,217,487,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CALUMA,CALUMA,559,603,""1,162"",""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHILLANES,CHILLANES,258,228,486,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHILLANES,SAN JOSE DEL TAMBO (TAMBOPAMBA),88,90,178,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHIMBO,ASUNCION (ASANCOTO),16,24,40,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHIMBO,MAGDALENA (CHAPACOTO),70,64,134,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO,142,185,327,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHIMBO,SAN SEBASTIAN,0,0,0,""331,031"",""316,925"",""647,956"""
"BOLIVAR,CHIMBO,TELIMBELA,0,0,0,""331,031"",""316,925"",""647,956"""
"BOLIVAR,ECHEANDIA,ECHEANDIA,319,334,653,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,ANGEL POLIBIO CHAVES,826,537,""1,363"",""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,FACUNDO VELA,14,17,31,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,GABRIEL IGNACIO VEINTIMILLA,701,879,""1,580"",""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,GUANUJO,130,199,329,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,JULIO E. MORENO (CATANAHUAN GRANDE),0,0,0,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,SALINAS,29,52,81,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,SAN LORENZO,45,101,146,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,SAN LUIS DE PAMBIL,121,132,253,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,SAN SIMON (YACOTO),47,58,105,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,SANTAFE (SANTA FE),13,18,31,""331,031"",""316,925"",""647,956"""
"BOLIVAR,GUARANDA,SIMIATUG,144,229,373,""331,031"",""316,925"",""647,956"""
"BOLIVAR,LAS NAVES,LAS MERCEDES,23,27,50,""331,031"",""316,925"",""647,956"""
"BOLIVAR,LAS NAVES,LAS NAVES,37,40,77,""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,BALSAPAMBA,27,40,67,""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,BILOVAN,28,24,52,""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,REGULO DE MORA,15,25,40,""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,SAN MIGUEL,618,622,""1,240"",""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,SAN PABLO (SAN PABLO DE ATENAS),110,114,224,""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,SAN VICENTE,0,0,0,""331,031"",""316,925"",""647,956"""
"BOLIVAR,SAN MIGUEL,SANTIAGO,7,9,16,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,AURELIO BAYAS,39,35,74,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,AZOGUES,""1,489"",""1,609"",""3,098"",""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,BORRERO,30,43,73,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,COJITAMBO,31,28,59,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,GUAPAN,62,65,127,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,JAVIER LOYOLA (CHUQUIPATA),52,56,108,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,LUIS CORDERO,39,28,67,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,PINDILIG,16,20,36,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,RIVERA,27,20,47,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,SAN FRANCISCO,62,66,128,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,SAN MIGUEL,16,31,47,""331,031"",""316,925"",""647,956"""
"CAÑAR,AZOGUES,TADAY,41,43,84,""331,031"",""316,925"",""647,956"""
"CAÑAR,BIBLIAN,BIBLIAN,191,203,394,""331,031"",""316,925"",""647,956"""
"CAÑAR,BIBLIAN,JERUSALEN,0,0,0,""331,031"",""316,925"",""647,956"""
"CAÑAR,BIBLIAN,NAZON,17,13,30,""331,031"",""316,925"",""647,956"""
"CAÑAR,BIBLIAN,SAN FRANCISCO DE SAGEO,0,0,0,""331,031"",""316,925"",""647,956"""
"CAÑAR,BIBLIAN,TURUPAMBA,0,0,0,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,CAÑAR,""1,140"",""1,130"",""2,270"",""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,CHONTAMARCA,47,41,88,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,CHOROCOPTE,0,0,0,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,DUCUR,66,54,120,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,GENERAL MORALES (SOCARTE),22,23,45,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,GUALLETURO,32,32,64,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,HONORATO VASQUEZ (TAMBO VIEJO),9,48,57,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,INGAPIRCA,77,81,158,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,JUNCAL,25,7,32,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,SAN ANTONIO,19,20,39,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,VENTURA,0,0,0,""331,031"",""316,925"",""647,956"""
"CAÑAR,CAÑAR,ZHUD,37,34,71,""331,031"",""316,925"",""647,956"""
"CAÑAR,DELEG,DELEG,62,49,111,""331,031"",""316,925"",""647,956"""
"CAÑAR,DELEG,SOLANO,25,24,49,""331,031"",""316,925"",""647,956"""
"CAÑAR,EL TAMBO,EL TAMBO,198,151,349,""331,031"",""316,925"",""647,956"""
"CAÑAR,LA TRONCAL,LA TRONCAL,""1,158"",""1,027"",""2,185"",""331,031"",""316,925"",""647,956"""
"CAÑAR,LA TRONCAL,MANUEL J. CALLE,174,148,322,""331,031"",""316,925"",""647,956"""
"CAÑAR,LA TRONCAL,PANCHO NEGRO,112,81,193,""331,031"",""316,925"",""647,956"""
"CAÑAR,SUSCAL,SUSCAL,118,136,254,""331,031"",""316,925"",""647,956"""
"CARCHI,BOLIVAR,BOLIVAR,56,106,162,""331,031"",""316,925"",""647,956"""
"CARCHI,BOLIVAR,GARCIA MORENO,0,0,0,""331,031"",""316,925"",""647,956"""
"CARCHI,BOLIVAR,LOS ANDES,7,12,19,""331,031"",""316,925"",""647,956"""
"CARCHI,BOLIVAR,MONTE OLIVO,19,15,34,""331,031"",""316,925"",""647,956"""
"CARCHI,BOLIVAR,SAN RAFAEL,21,25,46,""331,031"",""316,925"",""647,956"""
"CARCHI,BOLIVAR,SAN VICENTE DE PUSIR,50,40,90,""331,031"",""316,925"",""647,956"""
"CARCHI,ESPEJO,27 DE SEPTIEMBRE,0,0,0,""331,031"",""316,925"",""647,956"""
"CARCHI,ESPEJO,EL ANGEL,278,336,614,""331,031"",""316,925"",""647,956"""
"CARCHI,ESPEJO,EL GOALTAL,9,14,23,""331,031"",""316,925"",""647,956"""
"CARCHI,ESPEJO,LA LIBERTAD (ALIZO),47,43,90,""331,031"",""316,925"",""647,956"""
"CARCHI,ESPEJO,SAN ISIDRO,33,37,70,""331,031"",""316,925"",""647,956"""
"CARCHI,MIRA,CONCEPCION,25,33,58,""331,031"",""316,925"",""647,956"""
"CARCHI,MIRA,JIJON Y CAAMAÑO,37,48,85,""331,031"",""316,925"",""647,956"""
"CARCHI,MIRA,JUAN MONTALVO (SAN IGNACIO DE QUIL),25,14,39,""331,031"",""316,925"",""647,956"""
"CARCHI,MIRA,MIRA (CHONTAHUASI),160,126,286,""331,031"",""316,925"",""647,956"""
